Sample,Group,ClassSimple,Proportion
HPSI_016,Psidium guajava (2n),SINE,0.00660901504214659
HPSI_016,Psidium guajava (2n),Unclassified,24.1002911939671
HPSI_080,Psidium sartorianum (4n),DNA,2.22382319380767
HPSI_080,Psidium sartorianum (4n),LINE,1.70628039291548
HPSI_080,Psidium sartorianum (4n),LTR,24.3746062264103
HPSI_080,Psidium sartorianum (4n),Non-Repeat,45.9897914136463
HPSI_080,Psidium sartorianum (4n),Other (Simple Repeat, Microsatellite, RNA),2.89819696393625
HPSI_080,Psidium sartorianum (4n),Penelope,0
HPSI_080,Psidium sartorianum (4n),Rolling Circle,0.606378007274598
HPSI_080,Psidium sartorianum (4n),SINE,0.00686523920728849
HPSI_080,Psidium sartorianum (4n),Unclassified,23.0209241778142
HPSI_059,Psidium friedrichsthalianum (4n),DNA,2.16231905067532
HPSI_059,Psidium friedrichsthalianum (4n),LINE,1.59713123145596
HPSI_059,Psidium friedrichsthalianum (4n),LTR,27.6330868801748
HPSI_059,Psidium friedrichsthalianum (4n),Non-Repeat,44.0103648866959
HPSI_059,Psidium friedrichsthalianum (4n),Other (Simple Repeat, Microsatellite, RNA),1.90322205900168
HPSI_059,Psidium friedrichsthalianum (4n),Penelope,0
HPSI_059,Psidium friedrichsthalianum (4n),Rolling Circle,0.568555129900806
HPSI_059,Psidium friedrichsthalianum (4n),SINE,0.00863943041631478
HPSI_059,Psidium friedrichsthalianum (4n),Unclassified,22.8233994430802
HPSI_010,Psidium acutangulum (4n),DNA,2.6211922968431
HPSI_010,Psidium acutangulum (4n),LINE,1.74761067519119
HPSI_010,Psidium acutangulum (4n),LTR,26.9939161496653
HPSI_010,Psidium acutangulum (4n),Non-Repeat,43.6608587085811
HPSI_010,Psidium acutangulum (4n),Other (Simple Repeat, Microsatellite, RNA),2.04539706540936
HPSI_010,Psidium acutangulum (4n),Penelope,0
HPSI_010,Psidium acutangulum (4n),Rolling Circle,1.06067076214382
HPSI_010,Psidium acutangulum (4n),SINE,0.00262992661038201
HPSI_010,Psidium acutangulum (4n),Unclassified,22.7015301130233
HPSI_072,Psidium microphyllum (4n),DNA,2.43929923705719
HPSI_072,Psidium microphyllum (4n),LINE,1.83914226435625
HPSI_072,Psidium microphyllum (4n),LTR,22.1471991575612
HPSI_072,Psidium microphyllum (4n),Non-Repeat,45.909079011289
